fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_write_ins,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26001,Alcona,7064,0,12,12,Merged into voters' home precincts and released with cumulative results,100,7064,100%,100% reported,edison,10,all,,731,,,2142,4848,50,12,11,1,0,0,0,0,0,0,0,0,2020-11-29T18:42:45Z,38.30691,R+38,Trump +38,republican,trumpd,38.30691,6198,39.8,6104,18,michigan,2021-05-08T21:24:14.670866Z
26003,Alger,5128,0,9,9,Merged into voters' home precincts and released with cumulative results,100,5128,100%,100% reported,edison,10,all,,484,,,2053,3014,41,9,9,0,2,0,0,0,0,0,0,0,2020-11-29T18:43:24Z,18.74025,R+19,Trump +19,republican,trumpd,18.74025,4518,20.4,4618,2.56,michigan,2021-05-08T21:24:14.670866Z
26005,Allegan,67094,0,42,42,Merged into voters' home precincts and released with cumulative results,100,67094,100%,100% reported,edison,10,all,,9594,,,24449,41392,943,118,143,12,37,0,0,0,0,0,0,0,2020-11-29T18:43:59Z,25.25263,R+25,Trump +25,republican,trumpd,25.25263,56120,28.7,52619,19.61,michigan,2021-05-08T21:24:14.670866Z
26007,Alpena,16969,0,19,19,Merged into voters' home precincts and released with cumulative results,100,16969,100%,100% reported,edison,10,all,,2738,,,6000,10686,220,26,28,3,6,0,0,0,0,0,0,0,2020-11-29T18:44:24Z,27.61506,R+28,Trump +28,republican,trumpd,27.61506,14768,28.5,14014,5.34,michigan,2021-05-08T21:24:14.670866Z
26009,Antrim,15949,0,16,16,Merged into voters' home precincts AFTER election night,100,15949,100%,100% reported,edison,10,all,,2188,,,5960,9748,189,16,28,0,8,0,0,0,0,0,0,0,2020-11-29T18:44:48Z,23.75071,R+24,Trump +24,republican,trumpd,23.75071,13667,29.4,13195,21.3,michigan,2021-05-08T21:24:14.670866Z
26011,Arenac,8831,0,15,15,Merged into voters' home precincts and released with cumulative results,100,8831,100%,100% reported,edison,10,all,,563,,,2774,5928,97,17,12,0,3,0,0,0,0,0,0,0,2020-11-29T18:45:31Z,35.71509,R+36,Trump +36,republican,trumpd,35.71509,7729,33.2,7841,4.95,michigan,2021-05-08T21:24:14.670866Z
26013,Baraga,4038,0,8,8,Merged into voters' home precincts and released with cumulative results,100,4038,100%,100% reported,edison,10,all,,489,,,1478,2512,31,5,10,2,0,0,0,0,0,0,0,0,2020-11-29T18:45:56Z,25.60674,R+26,Trump +26,republican,trumpd,25.60674,3518,28.5,3490,8.37,michigan,2021-05-08T21:24:14.670866Z
26015,Barry,35905,0,24,24,Merged into voters' home precincts and released with cumulative results,100,35905,100%,100% reported,edison,10,all,,5623,,,11797,23471,479,59,83,0,16,0,0,0,0,0,0,0,2020-11-29T18:46:24Z,32.51358,R+33,Trump +33,republican,trumpd,32.51358,30517,33.1,28512,18.11,michigan,2021-05-08T21:24:14.670866Z
26017,Bay,60255,0,75,75,Merged into voters' home precincts and released with cumulative results,100,60255,100%,100% reported,edison,10,all,,11503,,,26151,33125,688,102,155,2,32,0,0,0,0,0,0,0,2020-11-29T18:47:06Z,11.57414,R+12,Trump +12,republican,trumpd,11.57414,53274,12.6,53381,-5.56,michigan,2021-05-08T21:24:14.670866Z
26019,Benzie,12262,0,13,13,Merged into voters' home precincts and released with cumulative results,100,12262,100%,100% reported,edison,10,all,,2388,,,5480,6601,128,13,29,2,9,0,0,0,0,0,0,0,2020-11-30T03:04:33Z,9.14206,R+9,Trump +9,republican,trumpd,9.14206,10228,14,9901,3.94,michigan,2021-05-08T21:24:14.670866Z
26021,Berrien,82391,0,62,62,Merged into voters' home precincts and released with cumulative results,100,82391,100%,100% reported,edison,10,unknown,,15349,,,37438,43519,1062,140,173,12,47,0,0,0,0,0,0,0,2021-03-07T03:32:37Z,7.38066,R+7,Trump +7,republican,trumpd,7.38066,72031,12.7,72497,6.54,michigan,2021-05-08T21:24:14.670866Z
26023,Branch,20536,0,22,22,Merged into voters' home precincts and released with cumulative results,100,20536,100%,100% reported,edison,10,all,,2519,,,6159,14064,216,38,47,0,12,0,0,0,0,0,0,0,2020-11-30T03:05:38Z,38.49338,R+38,Trump +38,republican,trumpd,38.49338,17663,38.1,17147,18.21,michigan,2021-05-08T21:24:14.670866Z
26025,Calhoun,66281,0,67,67,Merged into voters' home precincts and released with cumulative results,100,66281,100%,100% reported,edison,10,all,,9574,,,28877,36221,890,117,137,5,34,0,0,0,0,0,0,0,2020-11-30T03:06:01Z,11.0801,R+11,Trump +11,republican,trumpd,11.0801,58902,12.5,58327,-1.6,michigan,2021-05-08T21:24:14.670866Z
26027,Cass,26216,0,24,24,Merged into voters' home precincts and released with cumulative results,100,26216,100%,100% reported,edison,10,some,,2750,,,9130,16699,286,40,45,3,13,0,0,0,0,0,0,0,2020-11-30T03:06:24Z,28.87168,R+29,Trump +29,republican,trumpd,28.87168,22595,30.9,22490,13.64,michigan,2021-05-08T21:24:14.670866Z
26029,Charlevoix,17000,0,20,20,Merged into voters' home precincts and released with cumulative results,100,17000,100%,100% reported,edison,10,unknown,,2686,,,6939,9841,160,13,43,0,4,0,0,0,0,0,0,0,2020-11-30T03:06:46Z,17.07059,R+17,Trump +17,republican,trumpd,17.07059,14654,24.1,14090,14.63,michigan,2021-05-08T21:24:14.670866Z
26031,Cheboygan,15868,0,22,22,None,100,15868,100%,100% reported,edison,10,all,,2254,,,5437,10186,196,18,23,0,8,0,0,0,0,0,0,0,2020-11-30T03:07:04Z,29.92816,R+30,Trump +30,republican,trumpd,29.92816,13672,32,13311,10.93,michigan,2021-05-08T21:24:14.670866Z
26033,Chippewa,17642,0,18,18,Merged into voters' home precincts and released with cumulative results,100,17642,100%,100% reported,edison,10,all,,1942,,,6648,10681,233,26,39,2,13,0,0,0,0,0,0,0,2020-11-30T03:07:27Z,22.86022,R+23,Trump +23,republican,trumpd,22.86022,15552,24.1,15564,7.57,michigan,2021-05-08T21:24:14.670866Z
26035,Clare,16281,0,20,20,Merged into voters' home precincts and released with cumulative results,100,16281,100%,100% reported,edison,10,all,,2290,,,5199,10861,162,22,34,0,3,0,0,0,0,0,0,0,2020-11-30T03:07:40Z,34.77673,R+35,Trump +35,republican,trumpd,34.77673,13449,31.6,13504,4.81,michigan,2021-05-08T21:24:14.670866Z
26037,Clinton,47927,4519,34,34,Merged into voters' home precincts and released with cumulative results,100,47927,100%,100% reported,edison,10,all,,9045,,,21968,25098,659,63,94,17,28,2937,1519,45,9,8,0,1,2020-11-30T03:08:08Z,6.53077,R+7,Trump +7,republican,trumpd,6.53077,40937,12.6,39235,6.27,michigan,2021-05-08T21:24:14.670866Z
26039,Crawford,7861,0,10,10,Merged into voters' home precincts and released with cumulative results,100,7861,100%,100% reported,edison,10,all,,1244,,,2672,5087,69,4,24,0,5,0,0,0,0,0,0,0,2020-11-30T03:08:22Z,30.72128,R+31,Trump +31,republican,trumpd,30.72128,6844,32.8,6814,11.01,michigan,2021-05-08T21:24:14.670866Z
26041,Delta,21151,0,27,27,Merged into voters' home precincts and released with cumulative results,100,21151,100%,100% reported,edison,10,all,,3134,,,7606,13207,249,33,42,0,14,0,0,0,0,0,0,0,2020-11-30T03:08:41Z,26.48102,R+26,Trump +26,republican,trumpd,26.48102,18594,25.2,18050,6.67,michigan,2021-05-08T21:24:14.670866Z
26043,Dickinson,14589,0,15,15,Released as a separate subtotal as first report of the night,100,14589,100%,100% reported,edison,10,all,,1960,,,4744,9617,187,15,15,0,11,0,0,0,0,0,0,0,2020-11-30T03:08:56Z,33.40188,R+33,Trump +33,republican,trumpd,33.40188,13232,35.2,12810,21.36,michigan,2021-05-08T21:24:14.670866Z
26045,Eaton,64327,33627,51,51,Merged into voters' home precincts and released with cumulative results,100,64327,100%,100% reported,edison,10,all,,15665,,,31299,31798,895,114,166,23,32,21048,12058,360,67,77,0,17,2020-11-30T03:09:17Z,0.77572,R+0.78,Trump +0.78,republican,trumpd,0.77572,56575,4.7,54788,-3.13,michigan,2021-05-08T21:24:14.670866Z
26047,Emmet,22177,6637,18,18,Merged into voters' home precincts and released with cumulative results,100,22177,100%,100% reported,edison,10,all,,4226,,,9662,12135,284,26,59,1,10,2184,4407,34,7,3,0,2,2020-11-30T03:09:33Z,11.15119,R+11,Trump +11,republican,trumpd,11.15119,18994,19.2,17709,17.1,michigan,2021-05-08T21:24:14.670866Z
26049,Genesee,221360,97243,239,239,Merged into voters' home precincts and released with cumulative results,100,221360,100%,100% reported,edison,10,unknown,,35969,,,119390,98714,2234,323,549,44,106,59759,36285,820,137,206,0,36,2021-03-07T03:32:50Z,9.34044,D+9,Biden +9,democrat,bidenj,-9.34044,197641,-9.4,202933,-28.17,michigan,2021-05-08T21:24:14.670866Z
26051,Gladwin,14603,0,18,18,Merged into voters' home precincts and released with cumulative results,100,14603,100%,100% reported,edison,10,all,,1923,,,4524,9893,142,18,25,0,1,0,0,0,0,0,0,0,2020-11-30T03:10:13Z,36.76642,R+37,Trump +37,republican,trumpd,36.76642,12542,34.5,12583,7.16,michigan,2021-05-08T21:24:14.670866Z
26053,Gogebic,8266,0,11,11,Merged into voters' home precincts and released with cumulative results,100,8266,100%,100% reported,edison,10,all,,543,,,3570,4600,67,4,21,0,4,0,0,0,0,0,0,0,2020-11-30T03:10:33Z,12.46068,R+12,Trump +12,republican,trumpd,12.46068,7383,14.8,7576,-8.1,michigan,2021-05-08T21:24:14.670866Z
26055,Grand Traverse,60236,24115,55,55,Merged into voters' home precincts and released with cumulative results,100,60236,100%,100% reported,edison,10,all,,16547,,,28683,30502,796,64,151,9,31,13579,10186,255,27,57,0,11,2020-11-30T03:10:53Z,3.01979,R+3,Trump +3,republican,trumpd,3.01979,51985,12.4,47999,11.79,michigan,2021-05-08T21:24:14.670866Z
26057,Gratiot,19127,0,21,21,Merged into voters' home precincts and released with cumulative results,100,19127,100%,100% reported,edison,10,all,,1790,,,6693,12102,240,31,49,1,11,0,0,0,0,0,0,0,2020-11-30T04:05:36Z,28.2794,R+28,Trump +28,republican,trumpd,28.2794,16465,25.6,16035,3.94,michigan,2021-05-08T21:24:14.670866Z
26059,Hillsdale,23302,0,26,26,Merged into voters' home precincts and released with cumulative results,100,23302,100%,100% reported,edison,10,all,,2406,,,5883,17037,261,38,56,14,13,0,0,0,0,0,0,0,2020-11-30T03:11:31Z,47.86714,R+48,Trump +48,republican,trumpd,47.86714,19940,46.6,19100,24.19,michigan,2021-05-08T21:24:14.670866Z
26061,Houghton,18501,0,29,29,Merged into voters' home precincts and released with cumulative results,100,18501,100%,100% reported,edison,10,all,,1850,,,7750,10378,285,28,49,0,11,0,0,0,0,0,0,0,2020-11-30T03:11:49Z,14.20464,R+14,Trump +14,republican,trumpd,14.20464,15761,15.6,15282,9.13,michigan,2021-05-08T21:24:14.670866Z
26063,Huron,18437,0,31,31,None,100,18437,100%,100% reported,edison,10,all,,1927,,,5490,12731,145,24,32,0,15,0,0,0,0,0,0,0,2020-11-30T03:12:09Z,39.27429,R+39,Trump +39,republican,trumpd,39.27429,15944,38.3,15484,14.78,michigan,2021-05-08T21:24:14.670866Z
26065,Ingham,144550,0,115,115,Merged into voters' home precincts and released with cumulative results,100,144550,100%,100% reported,edison,10,unknown,,39987,,,94212,47639,1873,221,456,45,104,0,0,0,0,0,0,0,2021-03-07T03:32:57Z,32.2193,D+32,Biden +32,democrat,bidenj,-32.2193,132135,-26.7,127910,-27.79,michigan,2021-05-08T21:24:14.670866Z
26067,Ionia,32209,0,31,31,None,100,32209,100%,100% reported,edison,10,unknown,,3326,,,10901,20657,490,55,79,4,23,0,0,0,0,0,0,0,2020-11-30T03:12:41Z,30.28967,R+30,Trump +30,republican,trumpd,30.28967,27039,30.6,25761,12.8,michigan,2021-05-08T21:24:14.670866Z
26069,Iosco,15363,0,18,18,Merged into voters' home precincts and released with cumulative results,100,15363,100%,100% reported,edison,10,all,,2585,,,5373,9759,152,31,33,4,11,0,0,0,0,0,0,0,2020-11-30T03:12:56Z,28.54911,R+29,Trump +29,republican,trumpd,28.54911,13429,29.8,13344,5,michigan,2021-05-08T21:24:14.670866Z
26071,Iron,6789,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6789,100%,100% reported,edison,10,all,,608,,,2493,4216,54,8,14,0,4,0,0,0,0,0,0,0,2020-11-30T03:13:15Z,25.37929,R+25,Trump +25,republican,trumpd,25.37929,5960,28,5988,8.97,michigan,2021-05-08T21:24:14.670866Z
26073,Isabella,29421,0,30,30,None,100,29421,100%,100% reported,edison,10,all,,3200,,,14072,14815,365,35,102,12,20,0,0,0,0,0,0,0,2020-11-30T03:13:31Z,2.52541,R+3,Trump +3,republican,trumpd,2.52541,25540,3.7,24119,-9.28,michigan,2021-05-08T21:24:14.670866Z
26075,Jackson,80861,0,63,63,Merged into voters' home precincts and released with cumulative results,100,80861,100%,100% reported,edison,10,unknown,,11117,,,31995,47372,1113,108,213,16,44,0,0,0,0,0,0,0,2021-03-07T03:33:08Z,19.01658,R+19,Trump +19,republican,trumpd,19.01658,70125,20,69446,5.76,michigan,2021-05-08T21:24:14.670866Z
26077,Kalamazoo,143414,0,108,108,Merged into voters' home precincts and released with cumulative results,100,143414,100%,100% reported,edison,10,unknown,,26785,,,83686,56823,2064,219,494,38,90,0,0,0,0,0,0,0,2021-03-07T03:33:15Z,18.73109,D+19,Biden +19,democrat,bidenj,-18.73109,126299,-12.8,123178,-13.31,michigan,2021-05-08T21:24:14.670866Z
26079,Kalkaska,10631,0,13,13,Merged into voters' home precincts and released with cumulative results,100,10631,100%,100% reported,edison,10,all,,1423,,,3002,7436,142,21,24,1,5,0,0,0,0,0,0,0,2020-11-30T03:14:31Z,41.70821,R+42,Trump +42,republican,trumpd,41.70821,8833,43.4,8299,19.63,michigan,2021-05-08T21:24:14.670866Z
